"rules","support","confidence","coverage","lift","count"
"{JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{STEEVE=0,JIMMY=1,YURIKO=1,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{JIMMY=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{JIMMY=1,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{STEEVE=0,JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.111111111111111,0.944444444444444,0.117647058823529,1.01760563380282,17
"{WIN=1} => {ALONSO=0}",0.42483660130719,0.942028985507246,0.450980392156863,1.01500306184936,65
"{STEEVE=0,FRANCOIS=0,BARBARA=0,SHELDA=0,WIN=1} => {JIMMY=1}",0.104575163398693,0.941176470588235,0.111111111111111,2.32258064516129,16
"{STEEVE=0,RICK=0,BARBARA=0,SHELDA=0,WIN=1} => {JIMMY=1}",0.104575163398693,0.941176470588235,0.111111111111111,2.32258064516129,16
"{STEEVE=0,ALONSO=0,RICK=0,BARBARA=0,WIN=1} => {JIMMY=1}",0.104575163398693,0.941176470588235,0.111111111111111,2.32258064516129,16
"{STEEVE=0,JIMMY=1,RICK=0,SHELDA=0,WIN=1} => {YURIKO=1}",0.104575163398693,0.941176470588235,0.111111111111111,2.25,16
"{STEEVE=0,FRANCOIS=0,ALONSO=0,RICK=0,WIN=1} => {YURIKO=1}",0.104575163398693,0.941176470588235,0.111111111111111,2.25,16
"{STEEVE=0,RICK=0,BARBARA=0,SHELDA=0,WIN=1} => {YURIKO=1}",0.104575163398693,0.941176470588235,0.111111111111111,2.25,16
"{JIMMY=1,RICK=0,YURIKO=1,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{FRANCOIS=0,JIMMY=1,RICK=0,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{JIMMY=1,RICK=0,YURIKO=1,SHELDA=0,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{STEEVE=0,ALONSO=0,JIMMY=1,YURIKO=1,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{STEEVE=0,JIMMY=1,RICK=0,SHELDA=0,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{STEEVE=0,ALONSO=0,JIMMY=1,RICK=0,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{STEEVE=0,ALONSO=0,JIMMY=1,YURIKO=1,SHELDA=0,WIN=1} => {BARBARA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.56521739130435,16
"{JIMMY=1,RICK=0,YURIKO=1,WIN=1} => {STEEVE=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.2972972972973,16
"{ALONSO=0,JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {STEEVE=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.2972972972973,16
"{JIMMY=1,RICK=0,YURIKO=1,SHELDA=0,WIN=1} => {STEEVE=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.2972972972973,16
"{ALONSO=0,JIMMY=1,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {STEEVE=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.2972972972973,16
"{JIMMY=1,WIN=1} => {SHELDA=0}",0.209150326797386,0.941176470588235,0.222222222222222,1.1900826446281,32
"{FRANCOIS=0,JIMMY=1,RICK=0,WIN=1} => {SHELDA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.1900826446281,16
"{STEEVE=0,FRANCOIS=0,JIMMY=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.1900826446281,16
"{STEEVE=0,FRANCOIS=0,ALONSO=0,RICK=0,WIN=1} => {SHELDA=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.1900826446281,16
"{JIMMY=0,BARBARA=1,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{BARBARA=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{FRANCOIS=1,RICK=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{JIMMY=1,RICK=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{FRANCOIS=0,JIMMY=1,RICK=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{STEEVE=0,JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{JIMMY=1,RICK=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{FRANCOIS=0,RICK=0,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{STEEVE=0,JIMMY=1,YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.104575163398693,0.941176470588235,0.111111111111111,1.01408450704225,16
"{FRANCOIS=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.202614379084967,0.939393939393939,0.215686274509804,1.01216389244558,31
"{BARBARA=0,WIN=1} => {ALONSO=0}",0.300653594771242,0.938775510204082,0.320261437908497,1.01149755676919,46
